fid,id_tramo,id_vial,tipo_tramo,tipo_tramd,calzada,calzadad,acceso,accesod,firme,firmed,ncarriles,sentido,sentidod,situacion,situaciond,estadofis,estadofisd,tipovehic,tipovehicd,titular,titulard,orden,ordend,fuente_t,fuente_td,codigo,dgc_via,clase,clased,tipo_vial,tipo_viald,nombre,nombre_alt,fuente_v,fuente_vd,alta_db
197562,502970000331,502970005617,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,2,Doble,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029726460,5296,2000,Urbano,2367,PASEO,1 SAGRADA MONZALBARBA,Desconocido,2,Dirección General del Catastro,2024-09-20
202052,502970004683,502970005674,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,1,Único,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029713705,5614,2000,Urbano,2517,URB,22 LOS GUARALES 2,Desconocido,2,Dirección General del Catastro,2024-09-20
200804,502970003455,502970005590,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,2,Doble,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029705640,5092,2000,Urbano,2122,CALLE,54 CAMELIA,Desconocido,2,Dirección General del Catastro,2024-09-20
229260,502970040925,502970000621,1,Troncal,1,Única,1,Libre,3,Sin tratamiento superficial,No aplicable,2,Doble,1,En superficie,1,En servicio,-997,Desconocido,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029703565,2017,2000,Urbano,2198,CTRA,A-2 (BARCELONA),BARCELONA KM,4,Instituto Nacional de Estadística,2023-09-21
200011,502970002684,502970005730,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,2,Doble,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029700020,1349,2000,Urbano,2122,CALLE,"AAIUN, EL",Desconocido,2,Dirección General del Catastro,2021-05-09
204681,502970007613,502970005734,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,2,Doble,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029700055,2984,2000,Urbano,2122,CALLE,ABEDUL (DEL),Desconocido,4,Instituto Nacional de Estadística,2021-05-09
198920,502970001621,502970005735,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,2,Doble,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029700060,2,2000,Urbano,2122,CALLE,ABEN AIRE,Desconocido,4,Instituto Nacional de Estadística,2023-08-07
198726,502970001437,502970000034,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,1,Único,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,2,Dirección General del Catastro,5029700070,3881,2000,Urbano,2122,CALLE,ABENOZA CAMERANO,Desconocido,4,Instituto Nacional de Estadística,2023-09-21
197588,502970000356,502970000700,1,Troncal,2,Duplicada o superior,1,Libre,1,Pavimentado,1,1,Único,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029712950,2898,2000,Urbano,2066,AVDA,ACADEMIA GENERAL MILITAR,Desconocido,4,Instituto Nacional de Estadística,2023-09-21
200416,502970003077,502970000587,1,Troncal,1,Única,1,Libre,3,Sin tratamiento superficial,No aplicable,2,Doble,1,En superficie,1,En servicio,-997,Desconocido,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029700092,3377,2000,Urbano,2169,CMNO,ACEQUIA (MONTAÑANA),ACEQUIA (MONTAÑANA),4,Instituto Nacional de Estadística,2023-09-21
212585,502970025311,502970000035,1,Troncal,1,Única,1,Libre,3,Sin tratamiento superficial,No aplicable,2,Doble,1,En superficie,1,En servicio,-997,Desconocido,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029700105,1682,2000,Urbano,2169,CMNO,ACEQUIA CANO (GRP),Desconocido,4,Instituto Nacional de Estadística,2023-09-21
206558,502970009876,502970008309,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,1,Único,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029700091,2989,2000,Urbano,2122,CALLE,ACIERTO (EL)(SANTA ISABEL),Desconocido,4,Instituto Nacional de Estadística,2021-05-09
200195,502970002865,502970005738,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,2,Doble,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029700093,2800,2000,Urbano,2122,CALLE,ACONCAGUA,Desconocido,4,Instituto Nacional de Estadística,2021-05-09
213499,502970026274,502970000589,1,Troncal,1,Única,1,Libre,3,Sin tratamiento superficial,No aplicable,2,Doble,1,En superficie,1,En servicio,-997,Desconocido,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029700110,3219,2000,Urbano,2169,CMNO,ADELFA (DE LA) (SAN JUAN DE MOZARRIFAR),Desconocido,4,Instituto Nacional de Estadística,2023-09-21
202709,502970005406,502970005988,1,Troncal,1,Única,1,Libre,1,Pavimentado,1,2,Doble,1,En superficie,1,En servicio,111,Peatón+bici+vehículo,5,Ayuntamiento,-998,No aplicable,1,Instituto Geográfico Nacional,5029703010,2436,2000,Urbano,2122,CALLE,ADOLFO AZNAR,Desconocido,4,Instituto Nacional de Estadística,2021-05-09
